name,population,timezone,federal_subject,federal_district
Centralniy,214625,Europe/Moscow,,
Pskov,210501,Europe/Moscow,Pskov Oblast,Northwest
Vasyl'evsky Ostrov,203058,Europe/Moscow,,
Severnyy,200000,Europe/Moscow,,
Balakovo,199572,Europe/Saratov,Saratov Oblast,Volga
Armavir,199548,Europe/Moscow,Krasnodar Krai,South
Yuzhno-Sakhalinsk,198973,Asia/Sakhalin,Sakhalin Oblast,Far East
Engels,196011,Europe/Saratov,Saratov Oblast,Volga
Severodvinsk,194292,Europe/Moscow,Arkhangelsk Oblast,Northwest
Zlatoust,191366,Asia/Yekaterinburg,Chelyabinsk Oblast,Ural
Syzran’,189338,Europe/Samara,,
Abakan,184168,Asia/Krasnoyarsk,Republic of Khakassia,Siberia
Kamensk-Ural’skiy,182500,Asia/Yekaterinburg,,
Petropavlovsk-Kamchatsky,181216,Asia/Kamchatka,Kamchatka Krai,Far East
Yasenevo,180000,Europe/Moscow,,
Podolsk,179400,Europe/Moscow,Moscow Oblast,Central
Lyublino,172000,Europe/Moscow,,
Berezniki,167748,Asia/Yekaterinburg,Perm Krai,Volga
Volgodonsk,167731,Europe/Moscow,Rostov Oblast,South
Miass,167500,Asia/Yekaterinburg,Chelyabinsk Oblast,Ural
Novocherkassk,166974,Europe/Moscow,Rostov Oblast,South
Nazran’,164131,Europe/Moscow,,
Rubtsovsk,161065,Asia/Barnaul,Altai Krai,Siberia
Mytishchi,160542,Europe/Moscow,Moscow Oblast,Central
Salavat,159893,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Khoroshëvo-Mnevniki,159000,Europe/Moscow,,
Bibirevo,159000,Europe/Moscow,,
Gol’yanovo,158000,Europe/Moscow,,
Admiralteisky,157897,Europe/Moscow,,
Ussuriysk,157068,Asia/Vladivostok,Primorsky Krai,Far East
Lyubertsy,154650,Europe/Moscow,Moscow Oblast,Central
Kovrov,154224,Europe/Moscow,Vladimir Oblast,Central
Strogino,152000,Europe/Moscow,,
Balashikha,150103,Europe/Moscow,Moscow Oblast,Central
Zhulebino,150000,Europe/Moscow,,
Kolomna,147690,Europe/Moscow,Moscow Oblast,Central
Nakhodka,146920,Asia/Vladivostok,Primorsky Krai,Far East
Elektrostal’,144387,Europe/Moscow,,
Orekhovo-Borisovo,144000,Europe/Moscow,,
Biryulëvo,144000,Europe/Moscow,,
Novyye Kuz’minki,143000,Europe/Moscow,,
Kuz’minki,143000,Europe/Moscow,,
Pyatigorsk,142865,Europe/Moscow,Stavropol Krai,North Caucasus
Chertanovo Yuzhnoye,142000,Europe/Moscow,,
Maykop,141970,Europe/Moscow,Republic of Adygea,South
Zheleznodorozhnyy,141648,Europe/Moscow,,
Norilsk,140800,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Al’met’yevsk,140437,Europe/Moscow,,
Korolev,139798,Europe/Moscow,,
Kolpino,138979,Europe/Moscow,,
Odintsovo,137041,Europe/Moscow,Moscow Oblast,Central
Nevinnomyssk,134345,Europe/Moscow,Stavropol Krai,North Caucasus
Pervouralsk,133600,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Kislovodsk,132771,Europe/Moscow,Stavropol Krai,North Caucasus
Dimitrovgrad,132226,Europe/Ulyanovsk,Ulyanovsk Oblast,Volga
Novomoskovsk,130982,Europe/Moscow,Tula Oblast,Central
Petrogradka,130455,Europe/Moscow,,
Ramenki,130000,Europe/Moscow,,
Zyablikovo,129000,Europe/Moscow,,
Kamyshin,128626,Europe/Volgograd,Volgograd Oblast,South
Novocheboksarsk,128468,Europe/Moscow,Chuvash Republic,Volga
Serpukhov,128158,Europe/Moscow,Moscow Oblast,Central
Orekhovo-Borisovo Severnoye,128000,Europe/Moscow,,
Ivanovskoye,128000,Europe/Moscow,,
Murom,126931,Europe/Moscow,Vladimir Oblast,Central
Khasavyurt,126829,Europe/Moscow,Republic of Dagestan,North Caucasus
Neftekamsk,126805,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Tyoply Stan,125000,Europe/Moscow,,
Tsaritsyno,123000,Europe/Moscow,,
Cherkessk,122395,Europe/Moscow,Karachay-Cherkess Republic,North Caucasus
Presnenskiy,122000,Europe/Moscow,,
Veshnyaki,122000,Europe/Moscow,,
Zyuzino,121000,Europe/Moscow,,
Solntsevo,120000,Europe/Moscow,,
Orekhovo-Zuyevo,120000,Europe/Moscow,Moscow Oblast,Central
Troparëvo,118000,Europe/Moscow,,
Achinsk,117634,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Kyzyl,116983,Asia/Krasnoyarsk,Tuva Republic,Siberia
Taganskiy,116000,Europe/Moscow,,
Noginsk,115979,Europe/Moscow,Moscow Oblast,Central
Yelets,115688,Europe/Moscow,Lipetsk Oblast,Central
Novo-Peredelkino,115536,Europe/Moscow,,
Ochakovo-Matveyevskoye,114000,Europe/Moscow,,
Tobolsk,113800,Asia/Yekaterinburg,Tyumen Oblast,Ural
Shchelkovo,113000,Europe/Moscow,,
Nefteyugansk,112632,Asia/Yekaterinburg,Khanty-Mansi Autonomous Okrug-Yugra,Ural
Novokuybyshevsk,111800,Europe/Samara,Samara Oblast,Volga
Noyabrsk,110000,Asia/Yekaterinburg,Yamalo-Nenets Autonomous Okrug,Ural
Bataysk,109962,Europe/Moscow,Rostov Oblast,South
Seversk,109844,Asia/Tomsk,Tomsk Oblast,Siberia
Arzamas,109479,Europe/Moscow,Nizhny Novgorod Oblast,Volga
Sergiyev Posad,109252,Europe/Moscow,Moscow Oblast,Central
Leninsk-Kuznetsky,109023,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Oktyabr’skiy,108200,Asia/Yekaterinburg,,
Obninsk,107392,Europe/Moscow,Kaluga Oblast,Central
Elista,106971,Europe/Moscow,Republic of Kalmykia,South
Cherëmushki,106587,Europe/Moscow,,
Novotroitsk,106186,Asia/Yekaterinburg,Orenburg Oblast,Volga
Derbent,105965,Europe/Moscow,Republic of Dagestan,North Caucasus
Izmaylovo,104000,Europe/Moscow,,
Kiselëvsk,104000,Asia/Novokuznetsk,,
Akademicheskoe,103304,Europe/Moscow,,
Velikiye Luki,103149,Europe/Moscow,Pskov Oblast,Northwest
Bogorodskoye,103000,Europe/Moscow,,
Pushkino,102816,Europe/Moscow,Moscow Oblast,Central
Artëm,102300,Asia/Vladivostok,,
Ukhta,102187,Europe/Moscow,Komi Republic,Northwest
Brateyevo,102000,Europe/Moscow,,
Shchukino,102000,Europe/Moscow,,
Kansk,101502,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Khanty-Mansiysk,101466,Asia/Yekaterinburg,Khanty-Mansi Autonomous Okrug-Yugra,Ural
Mezhdurechensk,101026,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Ryazanskiy,101000,Europe/Moscow,,
Novyye Cherëmushki,101000,Europe/Moscow,,
Solikamsk,100812,Asia/Yekaterinburg,Perm Krai,Volga
Glazov,100676,Europe/Samara,Udmurt Republic,Volga
